#SampleID	tube_label	filter	supernatant	lake	site	depth_(m)	date	MC_ELISA	MC_(ppb)	ATX_ELISA	ATX_(ppb)	BMAA_ELISA	BMAA_(ppm)	Avg_PC(ug/L_or_ppb_or_RFU)_READ_on_Fluor_1	Calulated_PC_ug/L_1	Avg_Chl_(ug/L_or_ppb_or_RFU)_READ_on_Fluor	Calulated_Chl_ug/L(pico_fraction)	Avg_PC(ug/L_or_ppb_or_RFU)_READ_on_Fluor_2	Calulated_PC_ug/L_2	Avg_PE(ug/L_or_ppb_or_RFU)_READ_on_Fluor	Calulated_PE_ug/L(pico_fraction)	sample.id	input	filtered	percentage.of.input.passed.filter	denoised	non.chimeric	percentage.of.input.non.chimeric	read_count_warning	percent_warning
76	PRO_DP_0-3m_7-8_GFF	GFF	8.2	PRO	DP	0-3	7/8/24	0.091595417	BDL	0.146406251	0.001600708	6.802360431	0.074372474	1.81	0.019789333	0.023333333	0.000255111	4.6	0.050293333	0	0	76	9753	4341	44.51	3982	3980	40.81	ok	warning
77	MM_BC+OH_0-6.5m_7-9_20	20		MM	BC+OH	0-6.5	7/9/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
78	MM_BC+OH_0-6.5m_7-9_GFC	GFC		MM	BC+OH	0-6.5	7/9/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
79	MM_BC+OH_0-6.5m_7-9_GFF	GFF	9.6	MM	BC+OH	0-6.5	7/9/24	0.063518876	BDL	0.156931806	0.001506545	9.775178214	0.093841711	1.56	0.014976	0.07	0.000672	3.2	0.03072	1.6	0.01536									
80	SH_DP_0-3m_7-22_10	10		SH	DP	0-3	7/22/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
81	SH_DP_0-3m_7-22_GFC	GFC		SH	DP	0-3	7/22/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
82	SH_DP_0-3m_7-22_GFF	GFF	9.3	SH	DP	0-3	7/22/24	0.069981516	BDL	0.21416824	0.002655686	7.885188234	0.097776334	2.436666667	0.030214667	0.076666667	0.000950667	3.4	0.04216	1.7	0.02108									
100																						100	37590	27671	73.61	26676	26363	70.13	ok	warning
101																						101	18517	14745	79.63	14237	14013	75.68	ok	warning
102																						102	81866	65642	80.18	62818	61081	74.61	ok	warning
XB1																						XB1	2269	1544	68.05	1496	1487	65.54	ok	warning
XB2																						XB2	2029	1718	84.67	1716	1677	82.65	ok	ok
